district_name,domain,website,city,enrollment,tier
Houston ISD,houstonisd.org,https://www.houstonisd.org,Houston,194000,Tier 3 - Enterprise
Dallas ISD,dallasisd.org,https://www.dallasisd.org,Dallas,140000,Tier 3 - Enterprise
Cypress-Fairbanks ISD,cfisd.net,https://www.cfisd.net,Cypress,118000,Tier 3 - Enterprise
Northside ISD,nisd.net,https://www.nisd.net,San Antonio,101000,Tier 3 - Enterprise
Katy ISD,katyisd.org,https://www.katyisd.org,Katy,90000,Tier 3 - Enterprise
Fort Bend ISD,fortbendisd.com,https://www.fortbendisd.com,Sugar Land,78000,Tier 3 - Enterprise
Fort Worth ISD,fwisd.org,https://www.fwisd.org,Fort Worth,73000,Tier 3 - Enterprise
Austin ISD,austinisd.org,https://www.austinisd.org,Austin,72000,Tier 3 - Enterprise
Frisco ISD,friscoisd.org,https://www.friscoisd.org,Frisco,67000,Tier 3 - Enterprise
Aldine ISD,aldineisd.org,https://www.aldineisd.org,Houston,67000,Tier 3 - Enterprise
Conroe ISD,conroeisd.net,https://www.conroeisd.net,Conroe,66000,Tier 3 - Enterprise
North East ISD,neisd.net,https://www.neisd.net,San Antonio,63000,Tier 3 - Enterprise
Arlington ISD,aisd.net,https://www.aisd.net,Arlington,55000,Tier 3 - Enterprise
Klein ISD,kleinisd.net,https://www.kleinisd.net,Klein,54000,Tier 3 - Enterprise
Garland ISD,garlandisd.net,https://www.garlandisd.net,Garland,52000,Tier 3 - Enterprise
El Paso ISD,episd.org,https://www.episd.org,El Paso,52000,Tier 3 - Enterprise
Lewisville ISD,lisd.net,https://www.lisd.net,Lewisville,51000,Tier 3 - Enterprise
Pasadena ISD,pasadenaisd.org,https://www.pasadenaisd.org,Pasadena,51000,Tier 3 - Enterprise
Plano ISD,pisd.edu,https://www.pisd.edu,Plano,50000,Tier 1 - Sweet Spot
Humble ISD,humbleisd.net,https://www.humbleisd.net,Humble,47000,Tier 1 - Sweet Spot
Round Rock ISD,roundrockisd.org,https://www.roundrockisd.org,Round Rock,47000,Tier 1 - Sweet Spot
San Antonio ISD,saisd.net,https://www.saisd.net,San Antonio,45000,Tier 1 - Sweet Spot
Socorro ISD,sisd.net,https://www.sisd.net,El Paso,45000,Tier 1 - Sweet Spot
Killeen ISD,killeenisd.org,https://www.killeenisd.org,Killeen,44000,Tier 1 - Sweet Spot
United ISD,uisd.net,https://www.uisd.net,Laredo,44000,Tier 1 - Sweet Spot
Clear Creek ISD,ccisd.net,https://www.ccisd.net,League City,43000,Tier 1 - Sweet Spot
Leander ISD,leanderisd.org,https://www.leanderisd.org,Leander,42000,Tier 1 - Sweet Spot
Brownsville ISD,bisd.us,https://www.bisd.us,Brownsville,41000,Tier 1 - Sweet Spot
Ysleta ISD,yisd.net,https://www.yisd.net,El Paso,40000,Tier 1 - Sweet Spot
Mesquite ISD,mesquiteisd.org,https://www.mesquiteisd.org,Mesquite,38000,Tier 1 - Sweet Spot
Richardson ISD,risd.org,https://www.risd.org,Richardson,37000,Tier 1 - Sweet Spot
Lamar CISD,lcisd.org,https://www.lcisd.org,Rosenberg,36000,Tier 1 - Sweet Spot
Corpus Christi ISD,ccisd.us,https://www.ccisd.us,Corpus Christi,36000,Tier 1 - Sweet Spot
Mansfield ISD,mansfieldisd.org,https://www.mansfieldisd.org,Mansfield,35000,Tier 1 - Sweet Spot
Spring Branch ISD,springbranchisd.com,https://www.springbranchisd.com,Houston,35000,Tier 1 - Sweet Spot
Spring ISD,springisd.org,https://www.springisd.org,Houston,35000,Tier 1 - Sweet Spot
Edinburg CISD,ecisd.us,https://www.ecisd.us,Edinburg,35000,Tier 1 - Sweet Spot
Keller ISD,kellerisd.net,https://www.kellerisd.net,Keller,34000,Tier 1 - Sweet Spot
Irving ISD,irvingisd.net,https://www.irvingisd.net,Irving,33000,Tier 1 - Sweet Spot
Ector County ISD,ectorcountyisd.org,https://www.ectorcountyisd.org,Odessa,33000,Tier 1 - Sweet Spot
Northwest ISD,nisdtx.org,https://www.nisdtx.org,Justin,32000,Tier 1 - Sweet Spot
Amarillo ISD,amaisd.org,https://www.amaisd.org,Amarillo,32000,Tier 1 - Sweet Spot
Pharr-San Juan-Alamo ISD,psjaisd.us,https://www.psjaisd.us,Pharr,32000,Tier 1 - Sweet Spot
Denton ISD,dentonisd.org,https://www.dentonisd.org,Denton,30000,Tier 1 - Sweet Spot
Prosper ISD,prosper-isd.net,https://www.prosper-isd.net,Prosper,30000,Tier 1 - Sweet Spot
Grand Prairie ISD,gpisd.org,https://www.gpisd.org,Grand Prairie,29000,Tier 1 - Sweet Spot
La Joya ISD,lajoyaisd.com,https://www.lajoyaisd.com,La Joya,29000,Tier 1 - Sweet Spot
Comal ISD,comalisd.org,https://www.comalisd.org,New Braunfels,28000,Tier 1 - Sweet Spot
Alvin ISD,alvinisd.net,https://www.alvinisd.net,Alvin,27000,Tier 1 - Sweet Spot
Pflugerville ISD,pfisd.net,https://www.pfisd.net,Pflugerville,27000,Tier 1 - Sweet Spot
Lubbock ISD,lubbockisd.org,https://www.lubbockisd.org,Lubbock,27000,Tier 1 - Sweet Spot
McKinney ISD,mckinneyisd.net,https://www.mckinneyisd.net,McKinney,26000,Tier 1 - Sweet Spot
Carrollton-Farmers Branch ISD,cfbisd.edu,https://www.cfbisd.edu,Carrollton,25000,Tier 1 - Sweet Spot
Midland ISD,midlandisd.net,https://www.midlandisd.net,Midland,25000,Tier 1 - Sweet Spot
Birdville ISD,birdvilleschools.net,https://www.birdvilleschools.net,Haltom City,24000,Tier 1 - Sweet Spot
Goose Creek CISD,gccisd.net,https://www.gccisd.net,Baytown,24000,Tier 1 - Sweet Spot
Hays CISD,hayscisd.net,https://www.hayscisd.net,Kyle,24000,Tier 1 - Sweet Spot
Judson ISD,judsonisd.org,https://www.judsonisd.org,San Antonio,24000,Tier 1 - Sweet Spot
Laredo ISD,laredoisd.org,https://www.laredoisd.org,Laredo,24000,Tier 1 - Sweet Spot
Hurst-Euless-Bedford ISD,hebisd.edu,https://www.hebisd.edu,Bedford,23000,Tier 1 - Sweet Spot
Pearland ISD,pearlandisd.org,https://www.pearlandisd.org,Pearland,23000,Tier 1 - Sweet Spot
Galena Park ISD,galenaparkisd.com,https://www.galenaparkisd.com,Galena Park,22000,Tier 1 - Sweet Spot
McAllen ISD,mcallenisd.org,https://www.mcallenisd.org,McAllen,22000,Tier 1 - Sweet Spot
Allen ISD,allenisd.org,https://www.allenisd.org,Allen,21000,Tier 1 - Sweet Spot
Eagle Mountain-Saginaw ISD,emsisd.com,https://www.emsisd.com,Fort Worth,21000,Tier 1 - Sweet Spot
Tomball ISD,tomballisd.net,https://www.tomballisd.net,Tomball,20000,Tier 1 - Sweet Spot
Harlingen CISD,hcisd.org,https://www.hcisd.org,Harlingen,19000,Tier 1 - Sweet Spot
Tyler ISD,tylerisd.org,https://www.tylerisd.org,Tyler,18500,Tier 1 - Sweet Spot
Wylie ISD,wylieisd.net,https://www.wylieisd.net,Wylie,18000,Tier 1 - Sweet Spot
New Caney ISD,newcaneyisd.org,https://www.newcaneyisd.org,New Caney,18000,Tier 1 - Sweet Spot
Rockwall ISD,rockwallisd.com,https://www.rockwallisd.com,Rockwall,17000,Tier 1 - Sweet Spot
Schertz-Cibolo-Universal City ISD,scuc.txed.net,https://www.scuc.txed.net,Schertz,17000,Tier 1 - Sweet Spot
Bryan ISD,bryanisd.org,https://www.bryanisd.org,Bryan,17000,Tier 1 - Sweet Spot
Weslaco ISD,wisd.us,https://www.wisd.us,Weslaco,17000,Tier 1 - Sweet Spot
Crowley ISD,crowleyisdtx.org,https://www.crowleyisdtx.org,Crowley,16000,Tier 1 - Sweet Spot
Forney ISD,forneyisd.net,https://www.forneyisd.net,Forney,16000,Tier 1 - Sweet Spot
Mission CISD,mcisd.net,https://www.mcisd.net,Mission,16000,Tier 1 - Sweet Spot
Magnolia ISD,magnoliaisd.org,https://www.magnoliaisd.org,Magnolia,15000,Tier 1 - Sweet Spot
Donna ISD,donnaisd.net,https://www.donnaisd.net,Donna,15000,Tier 1 - Sweet Spot
College Station ISD,csisd.org,https://www.csisd.org,College Station,14500,Tier 1 - Sweet Spot
San Angelo ISD,saisd.org,https://www.saisd.org,San Angelo,14500,Tier 1 - Sweet Spot
Burleson ISD,burlesonisd.net,https://www.burlesonisd.net,Burleson,14000,Tier 1 - Sweet Spot
Georgetown ISD,georgetownisd.org,https://www.georgetownisd.org,Georgetown,14000,Tier 1 - Sweet Spot
Harlandale ISD,harlandale.net,https://www.harlandale.net,San Antonio,14000,Tier 1 - Sweet Spot
Belton ISD,bisd.net,https://www.bisd.net,Belton,14000,Tier 1 - Sweet Spot
Waco ISD,wacoisd.org,https://www.wacoisd.org,Waco,14000,Tier 1 - Sweet Spot
Abilene ISD,abileneisd.org,https://www.abileneisd.org,Abilene,14000,Tier 1 - Sweet Spot
Victoria ISD,visd.net,https://www.visd.net,Victoria,14000,Tier 1 - Sweet Spot
Grapevine-Colleyville ISD,gcisd.net,https://www.gcisd.net,Grapevine,13500,Tier 1 - Sweet Spot
Midlothian ISD,misd.gs,https://www.misd.gs,Midlothian,13000,Tier 1 - Sweet Spot
Southwest ISD,swisd.net,https://www.swisd.net,San Antonio,13000,Tier 1 - Sweet Spot
Wichita Falls ISD,wfisd.net,https://www.wfisd.net,Wichita Falls,13000,Tier 1 - Sweet Spot
Coppell ISD,coppellisd.com,https://www.coppellisd.com,Coppell,12500,Tier 1 - Sweet Spot
Deer Park ISD,dpisd.org,https://www.dpisd.org,Deer Park,12500,Tier 1 - Sweet Spot
Duncanville ISD,duncanvilleisd.org,https://www.duncanvilleisd.org,Duncanville,12000,Tier 1 - Sweet Spot
Dickinson ISD,dickinsonisd.org,https://www.dickinsonisd.org,Dickinson,12000,Tier 1 - Sweet Spot
Lake Travis ISD,ltisdschools.org,https://www.ltisdschools.org,Austin,12000,Tier 1 - Sweet Spot
Del Valle ISD,dvisd.net,https://www.dvisd.net,Del Valle,12000,Tier 1 - Sweet Spot
Frenship ISD,frenship.us,https://www.frenship.us,Wolfforth,11000,Tier 1 - Sweet Spot
Clint ISD,clintweb.net,https://www.clintweb.net,Clint,11000,Tier 1 - Sweet Spot
Los Fresnos CISD,lfcisd.net,https://www.lfcisd.net,Los Fresnos,11000,Tier 1 - Sweet Spot
San Benito CISD,sbcisd.com,https://www.sbcisd.com,San Benito,11000,Tier 1 - Sweet Spot
Rio Grande City CISD,rgccisd.org,https://www.rgccisd.org,Rio Grande City,11000,Tier 1 - Sweet Spot
Manor ISD,manorisd.net,https://www.manorisd.net,Manor,10500,Tier 1 - Sweet Spot
Little Elm ISD,leisd.net,https://www.leisd.net,Little Elm,10000,Tier 1 - Sweet Spot
Weatherford ISD,weatherfordisd.com,https://www.weatherfordisd.com,Weatherford,10000,Tier 1 - Sweet Spot
Montgomery ISD,misd.org,https://www.misd.org,Montgomery,10000,Tier 1 - Sweet Spot
Channelview ISD,channelview.isd.esc4.net,https://www.channelview.isd.esc4.net,Channelview,10000,Tier 1 - Sweet Spot
Sheldon ISD,sheldonisd.com,https://www.sheldonisd.com,Houston,10000,Tier 1 - Sweet Spot
Bastrop ISD,bfrisk.org,https://www.bfrisk.org,Bastrop,10000,Tier 1 - Sweet Spot
Hutto ISD,huttoisd.net,https://www.huttoisd.net,Hutto,10000,Tier 1 - Sweet Spot
East Central ISD,ecisd.net,https://www.ecisd.net,San Antonio,10000,Tier 1 - Sweet Spot
Edgewood ISD,eisd.net,https://www.eisd.net,San Antonio,10000,Tier 1 - Sweet Spot
Boerne ISD,boerneisd.net,https://www.boerneisd.net,Boerne,10000,Tier 1 - Sweet Spot
New Braunfels ISD,nbisd.org,https://www.nbisd.org,New Braunfels,10000,Tier 1 - Sweet Spot
Canyon ISD,canyonisd.net,https://www.canyonisd.net,Canyon,10000,Tier 1 - Sweet Spot
DeSoto ISD,desotoisd.org,https://www.desotoisd.org,DeSoto,9500,Tier 2 - Mid-size
Princeton ISD,princetonisd.net,https://www.princetonisd.net,Princeton,9000,Tier 2 - Mid-size
Waxahachie ISD,wisd.org,https://www.wisd.org,Waxahachie,9000,Tier 2 - Mid-size
Willis ISD,willisisd.org,https://www.willisisd.org,Willis,9000,Tier 2 - Mid-size
Temple ISD,tisd.org,https://www.tisd.org,Temple,9000,Tier 2 - Mid-size
Lubbock-Cooper ISD,lcisd.net,https://www.lcisd.net,Lubbock,9000,Tier 2 - Mid-size
Dripping Springs ISD,dsisdtx.us,https://www.dsisdtx.us,Dripping Springs,8700,Tier 2 - Mid-size
Southlake Carroll ISD,southlakecarroll.edu,https://www.southlakecarroll.edu,Southlake,8500,Tier 2 - Mid-size
La Porte ISD,lpisd.org,https://www.lpisd.org,La Porte,8500,Tier 2 - Mid-size
San Marcos CISD,smcisd.net,https://www.smcisd.net,San Marcos,8500,Tier 2 - Mid-size
South San Antonio ISD,southsanisd.net,https://www.southsanisd.net,San Antonio,8500,Tier 2 - Mid-size
Copperas Cove ISD,ccisd.com,https://www.ccisd.com,Copperas Cove,8500,Tier 2 - Mid-size
Midway ISD,midwayisd.org,https://www.midwayisd.org,Waco,8500,Tier 2 - Mid-size
Longview ISD,lisd.org,https://www.lisd.org,Longview,8500,Tier 2 - Mid-size
Lufkin ISD,lufkinisd.org,https://www.lufkinisd.org,Lufkin,8500,Tier 2 - Mid-size
Aledo ISD,aledoisd.org,https://www.aledoisd.org,Aledo,8400,Tier 2 - Mid-size
Celina ISD,celinaisd.com,https://www.celinaisd.com,Celina,8000,Tier 2 - Mid-size
Royse City ISD,rcisd.org,https://www.rcisd.org,Royse City,8000,Tier 2 - Mid-size
Red Oak ISD,redoakisd.org,https://www.redoakisd.org,Red Oak,8000,Tier 2 - Mid-size
Huntsville ISD,huntsville-isd.org,https://www.huntsville-isd.org,Huntsville,8000,Tier 2 - Mid-size
Texas City ISD,tcisd.org,https://www.tcisd.org,Texas City,8000,Tier 2 - Mid-size
Eanes ISD,eanesisd.net,https://www.eanesisd.net,Austin,8000,Tier 2 - Mid-size
Sherman ISD,shermanisd.net,https://www.shermanisd.net,Sherman,8000,Tier 2 - Mid-size
Anna ISD,annaisd.org,https://www.annaisd.org,Anna,7500,Tier 2 - Mid-size
Cedar Hill ISD,chisd.net,https://www.chisd.net,Cedar Hill,7500,Tier 2 - Mid-size
Granbury ISD,granburyisd.org,https://www.granburyisd.org,Granbury,7500,Tier 2 - Mid-size
Barbers Hill ISD,bhisd.net,https://www.bhisd.net,Mont Belvieu,7500,Tier 2 - Mid-size
Seguin ISD,seguinisd.net,https://www.seguinisd.net,Seguin,7500,Tier 2 - Mid-size
Texarkana ISD,txkisd.net,https://www.txkisd.net,Texarkana,7500,Tier 2 - Mid-size
Highland Park ISD,hpisd.org,https://www.hpisd.org,Dallas,7000,Tier 2 - Mid-size
Lancaster ISD,lancasterisd.org,https://www.lancasterisd.org,Lancaster,7000,Tier 2 - Mid-size
Crandall ISD,crandall-isd.net,https://www.crandall-isd.net,Crandall,7000,Tier 2 - Mid-size
Crosby ISD,crosbyisd.org,https://www.crosbyisd.org,Crosby,7000,Tier 2 - Mid-size
Azle ISD,azleisd.net,https://www.azleisd.net,Azle,6500,Tier 2 - Mid-size
Ennis ISD,ennis.k12.tx.us,https://www.ennis.k12.tx.us,Ennis,6500,Tier 2 - Mid-size
Cleburne ISD,c-isd.com,https://www.c-isd.com,Cleburne,6500,Tier 2 - Mid-size
Friendswood ISD,myfisd.com,https://www.myfisd.com,Friendswood,6500,Tier 2 - Mid-size
Galveston ISD,gisd.org,https://www.gisd.org,Galveston,6500,Tier 2 - Mid-size
Lockhart ISD,lockhartisd.org,https://www.lockhartisd.org,Lockhart,6500,Tier 2 - Mid-size
Canutillo ISD,canutillo-isd.org,https://www.canutillo-isd.org,El Paso,6500,Tier 2 - Mid-size
Roma ISD,romaisd.com,https://www.romaisd.com,Roma,6500,Tier 2 - Mid-size
White Settlement ISD,wsisd.net,https://www.wsisd.net,White Settlement,6000,Tier 2 - Mid-size
Everman ISD,eisd.org,https://www.eisd.org,Everman,6000,Tier 2 - Mid-size
Liberty Hill ISD,libertyhill.txed.net,https://www.libertyhill.txed.net,Liberty Hill,6000,Tier 2 - Mid-size
Nacogdoches ISD,nacisd.org,https://www.nacisd.org,Nacogdoches,6000,Tier 2 - Mid-size
Mercedes ISD,misdtx.net,https://www.misdtx.net,Mercedes,6000,Tier 2 - Mid-size
Flour Bluff ISD,flourbluffschools.net,https://www.flourbluffschools.net,Corpus Christi,6000,Tier 2 - Mid-size
Melissa ISD,melissaisd.org,https://www.melissaisd.org,Melissa,5500,Tier 2 - Mid-size
Argyle ISD,argyleisd.com,https://www.argyleisd.com,Argyle,5500,Tier 2 - Mid-size
Joshua ISD,joshuaisd.org,https://www.joshuaisd.org,Joshua,5500,Tier 2 - Mid-size
Terrell ISD,terrellisd.org,https://www.terrellisd.org,Terrell,5500,Tier 2 - Mid-size
Santa Fe ISD,sfisd.org,https://www.sfisd.org,Santa Fe,5500,Tier 2 - Mid-size
Marshall ISD,marshallisd.com,https://www.marshallisd.com,Marshall,5500,Tier 2 - Mid-size
Lovejoy ISD,lovejoyisd.com,https://www.lovejoyisd.com,Lucas,5000,Tier 2 - Mid-size
Aubrey ISD,aubreyisd.net,https://www.aubreyisd.net,Aubrey,5000,Tier 2 - Mid-size
Elgin ISD,elginisd.net,https://www.elginisd.net,Elgin,5000,Tier 2 - Mid-size
Medina Valley ISD,mvisd.org,https://www.mvisd.org,Castroville,5000,Tier 2 - Mid-size
Greenville ISD,greenvilleisd.com,https://www.greenvilleisd.com,Greenville,5000,Tier 2 - Mid-size
Denison ISD,denisonisd.net,https://www.denisonisd.net,Denison,5000,Tier 2 - Mid-size
Gregory-Portland ISD,g-pisd.org,https://www.g-pisd.org,Portland,5000,Tier 2 - Mid-size
Alice ISD,aliceisd.net,https://www.aliceisd.net,Alice,5000,Tier 2 - Mid-size
Sanger ISD,sangerisd.net,https://www.sangerisd.net,Sanger,4500,Tier 4 - Small
Splendora ISD,splendoraisd.org,https://www.splendoraisd.org,Splendora,4500,Tier 4 - Small
Jarrell ISD,jarrellisd.org,https://www.jarrellisd.org,Jarrell,4500,Tier 4 - Small
Somerset ISD,somersetisd.net,https://www.somersetisd.net,Somerset,4500,Tier 4 - Small
Brenham ISD,brenhamisd.net,https://www.brenhamisd.net,Brenham,4500,Tier 4 - Small
Jacksonville ISD,jacksonvilleisd.org,https://www.jacksonvilleisd.org,Jacksonville,4500,Tier 4 - Small
Mount Pleasant ISD,mpisd.net,https://www.mpisd.net,Mount Pleasant,4500,Tier 4 - Small
Calallen ISD,calallen.org,https://www.calallen.org,Corpus Christi,4500,Tier 4 - Small
Tuloso-Midway ISD,tmisd.net,https://www.tmisd.net,Corpus Christi,4500,Tier 4 - Small
Castleberry ISD,castleberryisd.net,https://www.castleberryisd.net,Fort Worth,4000,Tier 4 - Small
Kaufman ISD,kaufmanisd.net,https://www.kaufmanisd.net,Kaufman,4000,Tier 4 - Small
Huffman ISD,huffmanisd.net,https://www.huffmanisd.net,Huffman,4000,Tier 4 - Small
Taylor ISD,taylorisd.org,https://www.taylorisd.org,Taylor,4000,Tier 4 - Small
La Vega ISD,lavegaisd.org,https://www.lavegaisd.org,Waco,4000,Tier 4 - Small
Kilgore ISD,kilgoreisd.org,https://www.kilgoreisd.org,Kilgore,4000,Tier 4 - Small
Paris ISD,parisisd.net,https://www.parisisd.net,Paris,4000,Tier 4 - Small
Sulphur Springs ISD,ssisd.net,https://www.ssisd.net,Sulphur Springs,4000,Tier 4 - Small
Big Spring ISD,bsisd.esc18.net,https://www.bsisd.esc18.net,Big Spring,4000,Tier 4 - Small
Stephenville ISD,sville.us,https://www.sville.us,Stephenville,4000,Tier 4 - Small
San Elizario ISD,seisd.net,https://www.seisd.net,San Elizario,4000,Tier 4 - Small
Kingsville ISD,kingsvilleisd.net,https://www.kingsvilleisd.net,Kingsville,4000,Tier 4 - Small
Robstown ISD,robstownisd.org,https://www.robstownisd.org,Robstown,4000,Tier 4 - Small
Bay City ISD,bcis.net,https://www.bcis.net,Bay City,4000,Tier 4 - Small
Lake Worth ISD,lwisdtx.org,https://www.lwisdtx.org,Lake Worth,3500,Tier 4 - Small
Kennedale ISD,kennedaleisd.net,https://www.kennedaleisd.net,Kennedale,3500,Tier 4 - Small
Needville ISD,needvilleisd.com,https://www.needvilleisd.com,Needville,3500,Tier 4 - Small
China Spring ISD,chinaspring.txed.net,https://www.chinaspring.txed.net,Waco,3500,Tier 4 - Small
Navasota ISD,navasotaisd.org,https://www.navasotaisd.org,Navasota,3500,Tier 4 - Small
Palestine ISD,palestineisd.org,https://www.palestineisd.org,Palestine,3500,Tier 4 - Small
Gainesville ISD,gainesvilleisd.org,https://www.gainesvilleisd.org,Gainesville,3500,Tier 4 - Small
Andrews ISD,andrews.esc18.net,https://www.andrews.esc18.net,Andrews,3500,Tier 4 - Small
Brownwood ISD,brownwoodisd.org,https://www.brownwoodisd.org,Brownwood,3500,Tier 4 - Small
Beeville ISD,beevilleisd.org,https://www.beevilleisd.org,Beeville,3500,Tier 4 - Small
Calhoun County ISD,calcoisd.org,https://www.calcoisd.org,Port Lavaca,3500,Tier 4 - Small
El Campo ISD,ecisd.org,https://www.ecisd.org,El Campo,3500,Tier 4 - Small
Krum ISD,krumisd.net,https://www.krumisd.net,Krum,3000,Tier 4 - Small
La Marque ISD,lmisd.org,https://www.lmisd.org,La Marque,3000,Tier 4 - Small
Stafford MSD,staffordmsd.org,https://www.staffordmsd.org,Stafford,3000,Tier 4 - Small
Lampasas ISD,lisdtx.org,https://www.lisdtx.org,Lampasas,3000,Tier 4 - Small
Gatesville ISD,gatesvilleisd.org,https://www.gatesvilleisd.org,Gatesville,3000,Tier 4 - Small
Connally ISD,connally.org,https://www.connally.org,Waco,3000,Tier 4 - Small
Henderson ISD,hendersonisd.org,https://www.hendersonisd.org,Henderson,3000,Tier 4 - Small
Burkburnett ISD,burkburnettisd.org,https://www.burkburnettisd.org,Burkburnett,3000,Tier 4 - Small
Snyder ISD,snyderisd.net,https://www.snyderisd.net,Snyder,3000,Tier 4 - Small
Pilot Point ISD,pilotpointisd.com,https://www.pilotpointisd.com,Pilot Point,2500,Tier 4 - Small
Sunnyvale ISD,sunnyvaleisd.com,https://www.sunnyvaleisd.com,Sunnyvale,2500,Tier 4 - Small
Venus ISD,venusisd.net,https://www.venusisd.net,Venus,2500,Tier 4 - Small
Wimberley ISD,wimberleyisd.net,https://www.wimberleyisd.net,Wimberley,2500,Tier 4 - Small
Robinson ISD,robinsonisd.org,https://www.robinsonisd.org,Robinson,2500,Tier 4 - Small
Madisonville CISD,madisonvillecisd.org,https://www.madisonvillecisd.org,Madisonville,2500,Tier 4 - Small
Bonham ISD,bonhamisd.org,https://www.bonhamisd.org,Bonham,2500,Tier 4 - Small
Sweetwater ISD,sweetwaterisd.net,https://www.sweetwaterisd.net,Sweetwater,2500,Tier 4 - Small
Fabens ISD,fabensisd.net,https://www.fabensisd.net,Fabens,2500,Tier 4 - Small
West Oso ISD,westosoisd.net,https://www.westosoisd.net,Corpus Christi,2500,Tier 4 - Small
Rockport-Fulton ISD,rfisd.net,https://www.rfisd.net,Rockport,2500,Tier 4 - Small
Sinton ISD,sintonisd.net,https://www.sintonisd.net,Sinton,2500,Tier 4 - Small
Wharton ISD,whartonisd.net,https://www.whartonisd.net,Wharton,2500,Tier 4 - Small
Ponder ISD,ponderisd.net,https://www.ponderisd.net,Ponder,2000,Tier 4 - Small
McGregor ISD,mcgregor-isd.org,https://www.mcgregor-isd.org,McGregor,2000,Tier 4 - Small
Lorena ISD,lorenaisd.net,https://www.lorenaisd.net,Lorena,2000,Tier 4 - Small
Caldwell ISD,caldwellisd.net,https://www.caldwellisd.net,Caldwell,2000,Tier 4 - Small
Gladewater ISD,gladewaterisd.com,https://www.gladewaterisd.com,Gladewater,2000,Tier 4 - Small
Commerce ISD,commerceisd.org,https://www.commerceisd.org,Commerce,2000,Tier 4 - Small
Aransas Pass ISD,apisd.org,https://www.apisd.org,Aransas Pass,2000,Tier 4 - Small
Anahuac ISD,anahuacisd.net,https://www.anahuacisd.net,Anahuac,1800,Tier 4 - Small
Maypearl ISD,maypearlisd.org,https://www.maypearlisd.org,Maypearl,1500,Tier 4 - Small
Florence ISD,florenceisd.net,https://www.florenceisd.net,Florence,1500,Tier 4 - Small
Fort Sam Houston ISD,fshisd.net,https://www.fshisd.net,San Antonio,1500,Tier 4 - Small
Marlin ISD,marlinisd.org,https://www.marlinisd.org,Marlin,1500,Tier 4 - Small
Early ISD,earlyisd.net,https://www.earlyisd.net,Early,1500,Tier 4 - Small
Anthony ISD,anthonyisd.net,https://www.anthonyisd.net,Anthony,1500,Tier 4 - Small
Tornillo ISD,tornilloisd.net,https://www.tornilloisd.net,Tornillo,1500,Tier 4 - Small
Thrall ISD,thrallisd.org,https://www.thrallisd.org,Thrall,1000,Tier 4 - Small
Comfort ISD,comfort.txed.net,https://www.comfort.txed.net,Comfort,1000,Tier 4 - Small
Randolph Field ISD,randolphfieldisd.org,https://www.randolphfieldisd.org,Universal City,1000,Tier 4 - Small
Lackland ISD,lacklandisd.net,https://www.lacklandisd.net,San Antonio,1000,Tier 4 - Small
Port Aransas ISD,paisd.org,https://www.paisd.org,Port Aransas,500,Tier 4 - Small
